"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90_25","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","asistencias_90_48","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png"
"M. Giménez","Chaco For Ever","Chaco For Ever","LW",27,0,"2025-12-31",3,64,0,0.04,0,0.3,NA,NA,"Argentina","Argentina","derecho",165,60,"no",NA,NA,NA,NA,NA,NA,2.31,NA,NA,4.62,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.57,15.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CFO","ARG_CFO","Extremos",NA
"J. Vaquero","Central Norte","Central Norte","LW",22,0,"2026-12-31",2,65,0,0.01,0,0,NA,NA,"Argentina","Argentina","izquierdo",0,0,"si",NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CEN","ARG_CEN","Extremos",NA
"A. Guerra","Chacarita Juniors","Chacarita Juniors","CF",22,0,NA,3,66,0,0,0,0,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,2.73,NA,NA,2.73,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CHA","ARG_CHA","Delanteros",NA
"F. Tcherkaski","Defensores de Belgrano","Defensores de Belgrano","CF",19,0,"2026-12-31",3,66,0,0.05,0,0,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","DEF","ARG_DEF","Delanteros",NA
"M. Córdoba","Colón","Colón","CF",18,0,NA,4,72,1,0.65,0,0,NA,NA,"Argentina","Argentina","derecho",176,72,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,1,NA,NA,0,NA,2,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","COL","ARG_COL","Delanteros",NA
"V. Pereyra","Estudiantes Caseros","Estudiantes Caseros","RB",21,0,NA,4,73,0,0,0,0,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,2.31,NA,NA,2.31,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,14.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","EST","ARG_EST","Defensas",NA
"L. Gaitán","Colón","Colón","RDMF",20,0,NA,1,76,0,0,0,0,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,4,NA,NA,8,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,29.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","COL","ARG_COL","Mediocampo_Defensivo",NA
"F. Belluschi","Estudiantes Río Cuarto","Estudiantes Río Cuarto","LCMF",41,10000,"2024-12-31",4,77,0,0.1,1,0.3,NA,NA,"Argentina","Argentina, Italy","derecho",171,72,"no",NA,NA,NA,NA,NA,NA,1.58,NA,NA,4.74,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","AAE","ARG_AAE","Mediocampo",NA
"S. Borges","Estudiantes Caseros","Estudiantes Caseros","RB",22,0,NA,3,77,0,0,0,0.01,NA,NA,"Argentina","Argentina","derecho",0,0,"si",NA,NA,NA,NA,NA,NA,0,NA,NA,1.76,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","EST","ARG_EST","Defensas",NA
"G. Areco","Agropecuario","Agropecuario","RB",25,10000,NA,2,83,0,0,0,0,NA,NA,"Argentina","Argentina","derecho",185,74,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,8.57,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.74,16.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","AGR","ARG_AGR","Defensas",NA
"M. Vargas","Estudiantes Caseros","Estudiantes Caseros","RCMF",27,0,NA,5,85,0,0.02,0,0.01,NA,NA,"Argentina","Argentina","derecho",165,0,"no",NA,NA,NA,NA,NA,NA,11.54,NA,NA,11.54,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.48,21.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","EST","ARG_EST","Mediocampo",NA
"F. Camejo","Temperley","Temperley","RW",21,0,NA,6,86,0,0,0,0.41,NA,NA,"Argentina","Argentina","unknown",0,0,"no",NA,NA,NA,NA,NA,NA,1.76,NA,NA,3.53,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","TEM","ARG_TEM","Extremos",NA
"A. Shadow","Defensores Unidos","Defensores Unidos","LAMF",30,0,NA,1,88,1,0.18,0,0,NA,NA,"Argentina","Argentina","derecho",178,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,4.09,NA,0,NA,0,NA,NA,NA,1,NA,NA,0,NA,4,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.19,41.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","DEU","ARG_DEU","Mediocampo_Ofensivo",NA
"V. Barberini","Club Atlético Mitre","Club Atlético Mitre","CF",22,0,NA,4,88,0,0.08,0,0.03,NA,NA,"Argentina","Argentina","unknown",0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,6,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","MIT","ARG_MIT","Delanteros",NA
"M. Dávila","Agropecuario","Agropecuario","CF",21,0,NA,6,89,0,0,0,0,NA,NA,"Argentina","Argentina","derecho",0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,4.5,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.31,8.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","AGR","ARG_AGR","Delanteros",NA
"N. Caprio","Chaco For Ever","Chaco For Ever","GK",36,0,NA,1,95,0,0,0,0,NA,NA,"Argentina","Argentina","derecho",186,79,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,2.07,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.75,61.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,0,71.43,2.82,NA,0.82,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CFO","ARG_CFO","Arqueros",NA
"D. Rojas","Defensores Unidos","Defensores Unidos","CF",22,0,NA,1,97,0,0.19,0,0,NA,NA,"Argentina","Argentina","unknown",0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,3.75,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.01,38.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","DEU","ARG_DEU","Delanteros",NA
"M. Ferrari","Chaco For Ever","Chaco For Ever","RCMF",NA,0,NA,4,97,0,0,0,0,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,2.5,NA,NA,11.25,NA,1,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.17,6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CFO","ARG_CFO","Mediocampo",NA
"L. Rodríguez","Colón","Colón","AMF",40,125000,"2025-12-31",1,98,0,0.06,1,0.36,NA,NA,"Argentina","Argentina","derecho",167,71,"no",NA,NA,NA,NA,NA,NA,1.58,NA,NA,3.16,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.98,27.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","COL","ARG_COL","Mediocampo_Ofensivo",NA
"G. Mancuso","Central Norte","Central Norte","LCMF",27,125000,NA,5,100,0,0,0,0,NA,NA,"Argentina","Argentina, Italy","derecho",179,68,"no",NA,NA,NA,NA,NA,NA,1.43,NA,NA,14.29,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.46,11.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CEN","ARG_CEN","Mediocampo",NA
"F. Barrientos","Deportivo Morón","Deportivo Morón","LCMF",32,1e+05,"2025-12-31",4,101,0,0,0,0.03,NA,NA,"Argentina","Argentina","derecho",174,70,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,2.61,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,17.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","DMO","ARG_DMO","Mediocampo",NA
"L. Peraggini","Defensores de Belgrano","Defensores de Belgrano","GK",23,10000,"2025-12-31",1,101,0,0,0,0,NA,NA,"Argentina","Argentina","derecho",188,84,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.24,50.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,0,50,0.33,NA,-0.67,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","DEF","ARG_DEF","Arqueros",NA
"T. Migliore","Chacarita Juniors","Chacarita Juniors","LCB",20,0,NA,2,102,0,0.09,0,0,NA,NA,"Argentina","Argentina","izquierdo",0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,7.83,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.27,18.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CHA","ARG_CHA","Defensas",NA
"M. Taborda","Talleres Remedios","Talleres Remedios","RAMF",20,0,NA,4,102,0,0,0,0.14,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,2.31,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","TAL","ARG_TAL","Mediocampo_Ofensivo",NA
"R. Salinas","Club Atlético Mitre","Club Atlético Mitre","CF",NA,0,NA,3,103,0,0.07,0,0,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,1.67,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","MIT","ARG_MIT","Delanteros",NA
"T. Chamorro","Chaco For Ever","Chaco For Ever","RB",19,0,NA,2,104,0,0,0,0,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,1.36,NA,NA,10.91,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.74,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CFO","ARG_CFO","Defensas",NA
"M. Ferulano","Defensores Unidos","Defensores Unidos","LCMF",20,0,NA,2,106,0,0.01,0,0,NA,NA,"Argentina","Argentina","unknown",0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.69,12.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","DEU","ARG_DEU","Mediocampo",NA
"J. Zurbriggen","San Telmo","San Telmo","AMF",25,75000,NA,5,108,1,0.21,1,0.28,NA,NA,"Argentina","Argentina","derecho",184,79,"no",NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,0,NA,0,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.27,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","STE","ARG_STE","Mediocampo_Ofensivo",NA
"L. Vega","Almirante Brown","Almirante Brown","LCB",29,175000,NA,2,109,0,0,0,0.04,NA,NA,"Argentina","Argentina","izquierdo",179,70,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,10.5,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,45.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","ALM","ARG_ALM","Defensas",NA
"J. Rodriguez","Talleres Remedios","Talleres Remedios","LB",22,0,NA,2,110,0,0,0,0.11,NA,NA,"Argentina","Argentina","unknown",0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,8.92,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.21,30.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","TAL","ARG_TAL","Defensas",NA
"J. Jara","Chaco For Ever","Chaco For Ever","RW",22,0,NA,3,110,0,0,0,0.06,NA,NA,"Argentina","Argentina","derecho",0,0,"no",NA,NA,NA,NA,NA,NA,6.77,NA,NA,5.81,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.48,36.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","CFO","ARG_CFO","Extremos",NA
"J. Sanguina","Colón","Colón","CF",25,5e+05,"2027-12-31",5,111,1,0.28,0,0.02,NA,NA,"Paraguay","Paraguay","derecho",180,75,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,3.33,NA,1,NA,0,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.73,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","COL","ARG_COL","Delanteros",NA
"S. Sánchez","Gimnasia Jujuy","Gimnasia Jujuy","RCB",36,0,NA,3,113,0,0.33,0,0,NA,NA,"Argentina","Argentina","derecho",183,77,"no",NA,NA,NA,NA,NA,NA,1.15,NA,NA,6.92,NA,1,NA,1,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.63,32.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","GIJ","ARG_GIJ","Defensas",NA
"D. Pazzelli","Estudiantes Caseros","Estudiantes Caseros","LAMF",26,0,NA,2,118,0,0.65,0,0.13,NA,NA,"Argentina","Argentina",NA,0,0,"no",NA,NA,NA,NA,NA,NA,0,NA,NA,1.3,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.71,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Argentina","EST","ARG_EST","Mediocampo_Ofensivo",NA
