"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","asistencias_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png.x","archivo_png.y","archivo_png"
"Larry Vásquez","Atlético Bucaramanga","Atlético Bucaramanga","DMF",33,650000,"2025-12-31",1,75,0,0.01,0,0.02,8.4,57.14,"Colombia","Colombia, Venezuela","derecho",186,80,"no",6,3.6,66.67,2.4,50,1.2,2.5,0,2.4,5,0,0,0,0,0,0,0,0,0,0.01,0,0,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0,45.6,0,0,62.4,92.31,19.2,93.75,4.8,100,34.8,93.1,58.8,93.88,3.6,66.67,18.86,29.94,0.02,1.2,0,0,0,0,1.2,15.6,92.31,1.2,100,0,0,1.2,0,19.2,87.5,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","BUC","COL_BUC","Mediocampo_Defensivo",NA,NA,NA
"J. Canchimbo","Junior","Junior","RAMF",19,0,NA,5,76,1,0.05,0,0.25,21.32,44.44,"Colombia","Colombia",NA,177,0,"no",5.92,5.92,100,1.18,0,0,0,0,0,0,0,0,0,0,0,3.55,1.18,1,1.18,0.06,0,0,1,1.18,100,100,0,0,0,0,0,0,0,3.55,66.67,14.21,25,1.18,4.74,2.37,14.21,5.92,1.18,9.47,87.5,1.18,100,1.18,0,2.37,100,9.47,87.5,0,0,7.25,0,0.3,1.18,0,0,0,0,0,1.18,100,0,0,0,0,1.18,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","JNR","COL_JNR","Mediocampo_Ofensivo",NA,NA,NA
"D. Silva","Millonarios","Millonarios","RW",38,350000,NA,3,79,1,0.53,0,0.36,11.39,40,"Colombia","Colombia","derecho",175,74,"no",3.42,2.28,50,1.14,100,0,0,0,2.28,4.62,1.14,0,0,0,0,5.7,1.14,1,1.14,0.6,0,0,1,1.14,100,100,1.14,0,0,0,1.14,0,0,3.42,33.33,6.84,33.33,2.28,4.56,0,52.41,0,0,59.24,78.85,12.53,54.55,20.51,94.44,18.23,81.25,53.54,80.85,4.56,75,17.81,21.57,0.41,2.28,0,0,3.42,100,1.14,4.56,50,6.84,83.33,2.28,50,5.7,0,9.11,62.5,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,1.14,0,0,0,0,0,"Colombia","MIL","COL_MIL","Extremos",NA,NA,NA
"D. Valencia","Deportivo Cali","Deportivo Cali","RAMF",25,3e+05,NA,2,80,0,0,0,0,21.38,68.42,"Colombia","Colombia","izquierdo",0,0,"no",10.13,7.87,85.71,2.25,50,0,0,0,3.38,5.63,1.13,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,4.5,25,0,0,4.5,25,0,3.38,100,7.87,57.14,1.13,0,0,25.87,7.87,2.25,33.75,70,6.75,33.33,9,100,10.13,66.67,24.75,81.82,4.5,50,20.81,25.95,0,0,0,0,0,0,0,2.25,0,3.38,66.67,0,0,1.13,1.13,3.38,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","CAL","COL_CAL","Mediocampo_Ofensivo",NA,NA,NA
"G. Jiménez","Alianza","Alianza","CF",24,0,NA,4,81,0,0.01,0,0.33,26.67,41.67,"Colombia","Colombia",NA,0,0,"no",8.89,7.78,71.43,0,0,1.11,3,0,2.22,6,1.11,0,0,0,0,3.33,0,0,0,0.01,0,0,1,1.11,0,0,2.22,50,1.11,0,1.11,100,0,6.67,16.67,17.78,31.25,1.11,0,0,15.56,0,4.44,20,66.67,8.89,37.5,1.11,100,6.67,100,16.67,66.67,1.11,100,15.14,8.17,0.37,2.22,0,0,1.11,100,0,4.44,50,2.22,100,1.11,100,2.22,1.11,2.22,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,1.11,0,0,3.33,0,0,"Colombia","ALV","COL_ALV","Delanteros","DELANTEROS_ALIANZA_G_JIMÉNEZ.png","DELANTEROS_ALIANZA_G_JIMÉNEZ.png","DELANTEROS_ALIANZA_G_JIMÉNEZ.png"
"F. Navarro","Unión Magdalena","Unión Magdalena","LW",25,0,NA,3,82,0,0.04,0,0.4,28.54,34.62,"Colombia","Colombia","derecho",172,72,"no",7.68,7.68,42.86,3.29,33.33,2.2,3.75,0,2.2,3.75,2.2,1,1.1,0,0,3.29,0,0,0,0.05,0,0,2,2.2,0,0,2.2,50,2.2,50,0,0,0,3.29,66.67,15.37,28.57,5.49,4.39,0,37.32,2.2,1.1,50.49,73.91,16.46,53.33,12.07,90.91,12.07,81.82,42.8,76.92,5.49,60,17.61,34.92,0.44,3.29,0,0,1.1,0,0,5.49,60,6.59,33.33,1.1,0,5.49,1.1,6.59,83.33,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","UMG","COL_UMG","Extremos",NA,NA,NA
"E. Lastre","Unión Magdalena","Unión Magdalena","RAMF",25,3e+05,NA,2,82,0,0.38,0,0,21.95,45,"Ecuador","Ecuador","derecho",177,73,"no",7.68,5.49,80,3.29,0,1.1,2.73,0,2.2,5.45,1.1,1,1.1,0,0,3.29,0,0,0,0.41,0,0,2,2.2,50,0,1.1,0,0,0,1.1,0,0,4.39,50,10.98,40,3.29,1.1,0,17.56,1.1,2.2,20.85,84.21,4.39,75,5.49,100,4.39,100,18.66,88.24,1.1,100,13.3,17.9,0,0,0,0,0,0,0,2.2,100,0,0,0,0,0,0,2.2,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","UMG","COL_UMG","Mediocampo_Ofensivo",NA,NA,NA
"J. Pinto","Unión Magdalena","Unión Magdalena","LWF",19,0,NA,3,85,0,0.12,0,0,13.76,23.08,"Colombia","Colombia",NA,0,0,"no",0,1.06,0,4.24,0,0,0,0,0,0,1.06,0,0,0,0,4.24,0,0,0,0.12,0,0,2,2.12,50,0,1.06,0,0,0,1.06,0,0,5.29,60,8.47,37.5,2.12,2.12,0,18,1.06,0,25.41,66.67,5.29,40,5.29,100,8.47,62.5,20.12,73.68,4.24,50,17.45,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","UMG","COL_UMG","Extremos",NA,NA,NA
"J. Díaz","Junior","Junior","LAMF",21,150000,NA,4,85,0,0,0,0.1,13.76,46.15,"Colombia","Colombia","izquierdo",173,66,"no",7.41,7.41,42.86,1.06,100,1.06,1.88,0,3.18,5.63,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,3.18,33.33,1.06,100,2.12,0,0,0,0,4.24,50,0,3.18,0,27.53,3.18,0,31.76,80,2.12,50,9.53,88.89,11.65,72.73,27.53,84.62,1.06,100,16.11,15.44,0.11,1.06,0,0,0,0,0,2.12,100,3.18,33.33,0,0,0,1.06,4.24,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,2.12,0,0,1.06,0,0,"Colombia","JNR","COL_JNR","Mediocampo_Ofensivo",NA,NA,NA
"Y. Valencia","Once Caldas","Once Caldas","LW",21,0,NA,2,85,0,0,0,0,14.82,35.71,"Colombia","Colombia","derecho",0,0,"no",5.29,6.35,50,0,0,1.06,1.5,0,1.06,1.5,1.06,1,1.06,0,0,0,0,0,0,0,0,0,1,1.06,0,0,2.12,0,0,0,2.12,0,0,1.06,0,7.41,14.29,0,1.06,0,22.24,2.12,1.06,29.65,89.29,8.47,75,7.41,100,10.59,90,26.47,96,2.12,50,20.64,58.08,0,0,0,0,0,0,0,5.29,80,3.18,66.67,0,0,0,0,3.18,100,0,NA,0,NA,0,0,0,0,NA,NA,1.06,NA,0,0,0,2.12,0,0,"Colombia","ONC","COL_ONC","Extremos",NA,NA,NA
"L. Segura","Boyacá Chicó","Boyacá Chicó","RW",21,0,NA,2,85,0,0,0,0.06,13.76,38.46,"Colombia","Colombia",NA,0,0,"no",3.18,5.29,40,0,0,0,0,0,1.06,1.07,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,3.18,0,1.06,0,0,7.41,42.86,1.06,2.12,0,19.06,1.06,1.06,26.47,68,7.41,100,4.24,75,10.59,50,23.29,77.27,1.06,0,17.53,28.27,0.07,1.06,0,0,0,0,1.06,0,0,4.24,75,0,0,3.18,0,3.18,33.33,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","BYC","COL_BYC","Extremos",NA,NA,NA
"W. Ordóñez","Deportivo Pasto","Deportivo Pasto","LW",21,0,NA,3,86,1,0.22,0,0,13.6,53.85,"Colombia","Colombia","izquierdo",168,0,"no",8.37,2.09,50,1.05,0,1.05,1.5,1.05,6.28,9,1.05,0,0,0,0,3.14,1.05,1,1.05,0.23,0,0,2,2.09,100,50,0,0,0,0,0,0,0,1.05,100,6.28,66.67,3.14,0,0,7.33,0,5.23,12.56,75,1.05,100,2.09,50,6.28,66.67,11.51,72.73,1.05,100,19.36,21.88,0,0,0,0,0,0,0,2.09,100,0,0,0,0,0,0,1.05,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","PAS","COL_PAS","Extremos",NA,NA,NA
"M. Palacios","Santa Fe","Santa Fe","LW",18,0,NA,2,86,0,0.16,0,0.07,17.79,52.94,"Colombia","Colombia",NA,0,0,"no",10.47,10.47,60,1.05,0,0,0,0,4.19,5.45,2.09,0,0,0,0,3.14,0,0,0,0.16,0,0,1,1.05,0,0,3.14,66.67,2.09,50,1.05,100,1.05,2.09,50,5.23,60,1.05,2.09,0,10.47,2.09,2.09,14.65,78.57,4.19,50,5.23,100,4.19,75,10.47,80,2.09,50,20.61,24.89,0.08,1.05,0,0,0,0,2.09,1.05,100,1.05,100,0,0,0,2.09,3.14,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,1.05,0,0,"Colombia","STF","COL_STF","Extremos",NA,NA,NA
"F. Batista","Atlético Nacional","Atlético Nacional","CF",26,1800000,"2026-12-31",3,86,0,0,0,0.07,16.74,25,"Uruguay","Uruguay","derecho",182,75,"no",3.14,4.19,50,2.09,50,0,0,1.05,1.05,1.76,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,2.09,0,1.05,2.09,50,9.42,11.11,2.09,1.05,0,4.19,3.14,0,9.42,66.67,1.05,100,2.09,50,3.14,66.67,7.33,85.71,0,0,10.94,0,0.07,1.05,0,0,0,0,0,2.09,100,1.05,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","NAC","COL_NAC","Delanteros",NA,NA,NA
"I. Venecia","Deportivo Cali","Deportivo Cali","LCB",18,0,NA,3,90,0,0,0,0,18,44.44,"Colombia","Colombia",NA,194,82,"no",7,7,42.86,6,66.67,0,0,0,4,5.22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,24,87.5,7,85.71,3,100,8,87.5,23,86.96,1,100,14.69,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,0,NA,0,NA,0,0,0,0,NA,NA,1,NA,0,0,0,0,0,0,"Colombia","CAL","COL_CAL","Defensas",NA,NA,NA
"S. Mosquera Espinosa","Millonarios","Millonarios","LW",18,0,NA,4,95,0,0.03,0,0,16.11,52.94,"Colombia","Colombia",NA,0,0,"no",3.79,4.74,80,0.95,100,0,0,0,0,0,0,0,0,0,0,2.84,0,0,0,0.03,0,0,2,1.89,50,0,0,0,0,0,0,0,0,3.79,50,8.53,33.33,0,1.89,0,24.63,1.89,0.95,24.63,92.31,2.84,66.67,8.53,88.89,10.42,100,24.63,92.31,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","MIL","COL_MIL","Extremos",NA,NA,NA
"J. Mena","Deportivo Pereira","Deportivo Pereira","RW",19,0,NA,3,97,0,0.26,0,0,16.7,44.44,"Colombia","Colombia",NA,0,0,"no",6.49,6.49,42.86,0,0,0,0,0,3.71,6,0,0,0,0,0,3.71,0,0,0,0.24,0,0,2,1.86,50,0,0.93,0,0,0,0.93,0,0,4.64,60,9.28,50,1.86,0.93,0,12.99,0.93,1.86,21.34,82.61,0.93,100,7.42,100,5.57,100,19.48,85.71,0.93,100,14.44,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,50,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","PER","COL_PER","Extremos",NA,NA,NA
"E. Cabeza","Fortaleza","Fortaleza","RCB",22,2e+05,NA,1,99,0,0,0,0,10.91,50,"Ecuador","Ecuador",NA,0,0,"no",5.45,4.55,60,2.73,66.67,0,0,0.91,2.73,4.29,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0.91,0,0,0,0,1.82,50,0.91,0.91,0.91,33.64,1.82,0.91,46.36,82.35,19.09,71.43,3.64,100,14.55,87.5,40.91,88.89,4.55,40,19.16,39.91,0,0,0,0,0,0,0,5.45,50,0.91,100,0,0,1.82,0,8.18,66.67,0,NA,0,NA,0,0,0,0,NA,NA,0.91,NA,0,0,0,0,0,0,"Colombia","FOZ","COL_FOZ","Defensas",NA,NA,NA
"D. Castillo","Millonarios","Millonarios","RDMF",NA,0,NA,1,100,0,0.08,0,0.1,12.6,64.29,NA,NA,NA,0,0,"no",6.3,6.3,71.43,2.7,33.33,0,0,0,1.8,4,2.7,0,0,0,0,1.8,0,0,0,0.07,0,0,3,2.7,66.67,0,0,0,0,0,0,0,0,0,0,1.8,50,0,0.9,0,27,0,1.8,38.7,86.05,8.1,66.67,6.3,100,14.4,93.75,36.9,87.8,1.8,50,17.31,44.05,0.09,0.9,0,0,0,0,0.9,5.4,66.67,1.8,100,0.9,100,1.8,0,3.6,100,0,NA,0,NA,0,0,0,0,NA,NA,0.9,NA,0,0,0,0,0,0,"Colombia","MIL","COL_MIL","Mediocampo_Defensivo",NA,NA,NA
"K. López","Deportivo Pasto","Deportivo Pasto","GK",22,0,NA,1,101,0,0,0,0,0,0,"Colombia","Colombia","unknown",0,0,"no",4.46,0,0,0,0,0,0,0,4.46,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,10.69,100,6.24,100,0,0,4.46,100,7.13,100,3.56,100,32.57,56.11,0,0,0,0,0,0,0,1.78,100,0,0,0,0,0,0,3.56,100,1,0.89,5,4.46,0,80,0.55,0.49,-0.45,-0.401,0,0,NA,NA,NA,0,0,0,"Colombia","PAS","COL_PAS","Arqueros",NA,NA,NA
"K. Rendón","Deportivo Pasto","Deportivo Pasto","RCMF",32,1e+05,NA,6,103,1,0.11,1,0.52,6.99,0,"Colombia","Colombia","derecho",180,74,"no",2.62,4.37,0,0.87,0,0,0,0,2.62,3.75,0,0,0,0,0,2.62,0.87,1,0.87,0.1,0,0,4,3.5,25,25,1.75,100,0.87,100,0.87,100,0,0,0,0.87,0,2.62,0,0,23.59,0.87,0,28.83,93.94,7.86,88.89,5.24,83.33,7.86,100,26.21,93.33,0.87,100,10.72,8.4,0.46,2.62,0,0,0,0,0.87,4.37,80,1.75,100,0.87,100,0.87,1.75,3.5,75,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,3.5,0.87,0,0.87,0,0,"Colombia","PAS","COL_PAS","Mediocampo",NA,NA,NA
"Luis Vásquez","Atlético Bucaramanga","Atlético Bucaramanga","GK",29,250000,NA,1,104,0,0,0,0,0,0,"Colombia","Colombia","derecho",187,80,"si",1.73,0,0,0,0,0,0,0,1.73,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,16.44,94.74,5.19,83.33,0,0,10.38,100,13.85,100,2.6,66.67,25.8,59.48,0,0,0,0,0,0,0,1.73,50,0,0,0,0,0,0,1.73,100,1,0.87,3,2.6,0,66.67,0.91,0.79,-0.09,-0.078,0,2.6,NA,NA,NA,0,0,0,"Colombia","BUC","COL_BUC","Arqueros",NA,NA,NA
"K. Mantilla","Medellín","Medellín","CB",21,0,"2027-12-31",2,105,0,0,0,0,11.14,69.23,"Colombia","Colombia","derecho",191,81,"si",5.14,3.43,50,4.29,100,0.86,1.5,0.86,2.57,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,12,0,0,17.14,95,8.57,90,0,0,7.71,100,15.43,94.44,1.71,100,19.83,44.73,0,0,0,0,0,0,0,1.71,100,0,0,0,0,0,0,2.57,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","MDL","COL_MDL","Defensas",NA,NA,NA
"S. Tamayo","Santa Fe","Santa Fe","RB",22,0,"2026-06-30",1,107,0,0,0,0,17.66,38.1,"Colombia","Colombia","unknown",165,65,"no",6.73,7.57,55.56,4.21,20,0,0,0.84,2.52,3,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,33.33,0,0,0,13.46,0.84,0.84,17.66,80.95,8.41,70,5.05,83.33,0,0,15.98,84.21,1.68,50,18.83,56.41,0,0,0,0,0,0,0,1.68,50,0,0,0,0,0,0,2.52,66.67,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","STF","COL_STF","Defensas",NA,NA,NA
"F. Villa","Deportivo Pasto","Deportivo Pasto","RCB",20,0,NA,3,107,0,0,0,0,7.57,44.44,"Colombia","Colombia",NA,0,0,"no",7.57,5.05,50,0.84,100,0,0,0,5.05,5.81,1.68,2,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0.84,0,0,0,0,0,0,0,0,0,11.78,0,0,18.5,95.45,8.41,100,0,0,6.73,100,15.14,100,2.52,100,22.01,35.34,0,0,0,0,0,0,0,2.52,100,0.84,0,0,0,0.84,0,3.36,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","PAS","COL_PAS","Defensas",NA,NA,NA
"R. España","Envigado","Envigado","RAMF",21,0,NA,2,109,0,0,0,0,19.82,33.33,"Colombia","Colombia","derecho",178,68,"no",3.3,3.3,50,1.65,0,0,0,0,1.65,3,0.83,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0.83,0,0.83,3.3,50,13.21,37.5,0,0.83,0,16.51,1.65,0.83,26.42,81.25,6.61,75,9.91,100,5.78,71.43,24.77,86.67,0.83,0,13.94,20.6,0,0,0,0,0,0,0,2.48,33.33,0.83,0,0,0,0,0,4.13,80,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","ENV","COL_ENV","Mediocampo_Ofensivo",NA,NA,NA
"Y. Congo","Unión Magdalena","Unión Magdalena","AMF",27,3e+05,NA,3,112,0,0.36,0,0,12.05,40,"Colombia","Colombia","derecho",176,74,"no",5.63,4.02,80,2.41,33.33,0,0,0,2.41,2.81,1.61,0,0,0,0,3.21,0,0,0,0.29,0,0,5,4.02,80,0,0,0,0,0,0,0,0,0,0,4.02,0,1.61,0,0,21.7,0.8,0,37.77,91.49,12.05,86.67,5.63,100,13.66,88.24,36.96,93.48,0.8,0,14.21,8.89,0,0,0,0,0,0,0,4.82,83.33,0,0,0,0,0,0,4.82,83.33,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","UMG","COL_UMG","Mediocampo_Ofensivo",NA,NA,NA
"J. Avalo","Águilas Doradas","Águilas Doradas","LW",23,0,NA,5,114,0,0.05,0,0,21.32,51.85,"Colombia","Colombia","derecho",175,70,"no",7.89,7.11,77.78,0,0,0,0,0,2.37,3.75,0.79,0,0,0,0,1.58,0,0,0,0.04,0,0,2,1.58,50,0,0.79,0,0,0,0.79,0,0,3.95,20,11.05,42.86,0,0.79,0,19.74,0,1.58,33.95,93.02,2.37,33.33,11.05,100,13.42,94.12,31.58,97.5,1.58,50,14.28,12.8,0,0,0,0,0,0,0,2.37,33.33,0.79,0,0,0,0,0,0.79,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.79,0,0,0,0,0,"Colombia","AGD","COL_AGD","Extremos",NA,NA,NA
"J. Aponza","Deportivo Cali","Deportivo Cali","LW",19,0,NA,4,114,0,0.09,0,0.01,44.21,37.5,"Colombia","Colombia",NA,0,0,"si",11.05,11.05,57.14,7.11,33.33,0,0,0,4.74,6.92,3.95,0,0,0,0,2.37,0,0,0,0.07,0,0,3,2.37,0,0,0,0,0,0,0,0,0,4.74,50,19.74,36,2.37,1.58,0,16.58,3.16,3.16,18.95,79.17,6.32,62.5,3.95,80,3.95,100,17.37,81.82,1.58,50,17.2,7.47,0.01,0.79,0,0,0,0,0,2.37,66.67,0,0,0,0,0,0,3.95,80,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0.79,0,0,"Colombia","CAL","COL_CAL","Extremos",NA,NA,NA
"C. Blanco","Águilas Doradas","Águilas Doradas","LB",26,350000,NA,3,114,0,0.01,0,0,15,63.16,"Colombia","Colombia","izquierdo",175,70,"no",7.11,6.32,75,2.37,33.33,0,0,0,2.37,4.74,0.79,0,0,0,0,3.95,0,0,0,0,0,0,1,0.79,0,0,8.68,9.09,8.68,9.09,0,0,0.79,3.16,100,5.53,71.43,2.37,1.58,0,50.53,13.42,1.58,60.79,76.62,17.37,77.27,10.26,92.31,22.89,65.52,46.58,91.53,5.53,57.14,23.01,28.29,0,0.79,0,0,0,0,0,7.11,88.89,9.47,16.67,0,0,2.37,0.79,10.26,84.62,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","AGD","COL_AGD","Defensas",NA,NA,NA
"J. Murillo","América de Cali","América de Cali","LWF",29,2500000,"2025-12-31",2,115,0,0.06,0,0.37,18.78,83.33,"Venezuela","Venezuela","derecho",170,70,"no",6.26,5.48,85.71,0.78,0,0,0,0,1.57,2.31,0,0,0,0,0,4.7,0,0,0,0.05,0,0,1,0.78,0,0,0.78,100,0.78,100,0,0,0.78,3.13,100,10.96,85.71,5.48,4.7,0.78,25.04,3.91,3.91,34.43,86.36,7.83,80,5.48,100,11.74,80,32.09,85.37,1.57,100,13.86,16.26,0.29,3.13,0,0,0.78,100,1.57,3.91,80,3.13,100,0.78,100,4.7,0.78,5.48,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","AME","COL_AME","Extremos",NA,NA,NA
"R. Vanegas","Deportivo Pasto","Deportivo Pasto","LW",32,50000,NA,5,116,0,0,0,0,14.74,31.58,"Colombia","Colombia","derecho",176,72,"no",4.66,3.1,50,2.33,0,0,0,0,3.1,3.33,1.55,1,0.78,1,0.78,2.33,0,0,0,0,0,0,0,0,0,0,0.78,0,0.78,0,0,0,0,4.66,50,9.31,33.33,2.33,2.33,0.78,5.43,2.33,0.78,10.09,61.54,2.33,66.67,4.66,66.67,1.55,50,9.31,66.67,0,0,7.83,0,0,0,0,0,0,0,0,0.78,100,0,0,0,0,0,0,0.78,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","PAS","COL_PAS","Extremos",NA,NA,NA
"H. Reina","Llaneros","Llaneros","AMF",34,1e+05,NA,5,117,2,0.42,0,0,15.38,25,"Colombia","Colombia","derecho",177,70,"no",2.31,3.08,25,2.31,33.33,0,0,0,1.54,3.33,1.54,1,0.77,0,0,3.08,1.54,2,1.54,0.32,1,0.77,3,2.31,100,66.667,0,0,0,0,0,0,0,1.54,50,7.69,30,2.31,0,0,16.92,1.54,1.54,18.46,75,3.08,25,4.62,100,3.08,100,18.46,75,0,0,11.77,0,0,0,0,0,0,0,0,1.54,100,1.54,0,0,0,1.54,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","LNR","COL_LNR","Mediocampo_Ofensivo",NA,NA,NA
"F. González","La Equidad","La Equidad","RW",21,0,"2025-12-31",3,117,0,0,1,0.18,16.15,38.1,"Uruguay","Uruguay","derecho",165,60,"si",9.23,7.69,50,0.77,0,0,0,0,5.38,5.38,2.31,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0.77,100,0.77,100,0,0,0,3.08,25,6.92,33.33,0,2.31,0.77,26.92,3.08,0.77,28.46,86.49,10,92.31,8.46,81.82,8.46,90.91,26.92,85.71,0.77,100,16.72,15.4,0.14,0.77,0,0,0.77,0,0.77,3.08,75,2.31,100,0.77,0,1.54,0.77,6.15,75,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.77,0,0,0,0,0,"Colombia","EQU","COL_EQU","Extremos",NA,NA,NA
